Observation_Time_UTC,RA[deg],DEC[deg],Observatory,PGW,ZenIni[deg],ZenEnd[deg],Duration[s],Delay[s]
2016-07-04T19:26:39,139.8214,69.4225,North,0.0344,64.0173,64.4328,290,26294
2016-07-04T19:31:49,146.25,75.3407,North,0.0336,61.536,61.8532,300,26604
2016-07-04T19:37:09,157.5,79.7528,North,0.0316,59.4603,59.691,310,26924
2016-07-04T19:42:39,185.0,83.4177,North,0.0276,57.2215,57.3489,320,27254
2016-07-04T19:48:19,237.8571,84.8815,North,0.0233,56.0889,56.0918,330,27594
2016-07-04T19:54:09,274.0909,81.9528,North,0.0188,54.732,54.4055,970,27944
2016-07-04T20:10:39,288.5294,77.5491,North,0.0142,52.902,52.2272,1000,28934
2016-07-04T20:27:39,148.125,72.3876,North,0.0119,65.4447,65.9137,390,29954
2016-07-04T20:34:29,295.4348,73.1269,North,0.0092,50.4497,49.4243,1070,30364
2016-07-04T20:52:39,167.7273,81.9528,North,0.0065,60.9885,61.2425,430,31454
2016-07-04T21:00:09,202.5,85.6131,North,0.0056,58.6652,58.7847,440,31904
2016-07-04T21:07:49,302.5862,68.6792,North,0.0055,47.6493,46.1669,1210,32364
2016-07-04T21:28:19,158.6842,76.0774,North,0.0051,65.4327,65.8747,470,33594
2016-07-05T19:26:25,138.9706,64.9481,North,0.026,65.8366,69.6675,2310,112680
