Observation_Time_UTC,RA[deg],DEC[deg],Observatory,PGW,ZenIni[deg],ZenEnd[deg],Duration[s],Delay[s]
2016-06-03T23:21:14,167.3438,36.4236,South,0.0265,61.0512,61.1416,250,7980
2016-06-03T23:25:44,163.125,32.09,South,0.0262,57.4314,57.6261,260,8250
2016-06-03T23:30:24,158.9062,27.9532,South,0.0253,54.6311,55.2379,500,8530
2016-06-03T23:39:04,172.2656,40.2282,South,0.0248,64.8061,64.9213,360,9050
2016-06-03T23:45:24,155.3906,23.318,South,0.0222,52.8685,54.1867,720,9430
2016-06-03T23:57:44,151.875,18.8394,South,0.0188,52.2235,54.2122,840,10170
2016-06-04T00:12:04,149.0625,15.0948,South,0.0149,53.1586,55.8505,960,11030
2016-06-04T00:28:24,146.25,11.4152,South,0.0116,55.4408,57.6131,690,12010
2016-06-04T00:40:14,144.1406,7.1808,South,0.009,56.7791,59.4707,790,12720
2016-06-04T00:53:44,165.2344,34.2289,South,0.007,65.496,67.1226,880,13530
2016-06-04T01:08:44,156.7969,25.9445,South,0.0068,65.2364,67.8186,980,14430
2016-06-04T01:25:24,142.0312,2.9855,South,0.0063,65.9537,70.3048,1180,15430
